mfcc,spectral_centroid,spectral_bandwidth,spectral_rolloff,zero_crossing_rate,chroma_stft,rms,label
"[-302.54306    127.27121    -14.283487     1.7166896  -11.172331
   -1.439992   -16.781767    -4.3161      -4.781767   -10.560547
   -3.4465292    1.9599619  -11.6650715]",2599.9671904728307,3117.8798374017583,4654.397688827278,0.06489392921282411,"[0.3496129  0.3380766  0.36858195 0.4280699  0.4064556  0.41083345
 0.42631903 0.45297858 0.4682874  0.4246832  0.3769057  0.35792455]",0.07693726,0
"[-300.31802    120.79766    -15.355717    -4.453233    -7.2831383
   -3.8250883  -18.651293   -10.686553    -6.424336    -9.696854
   -5.387023    -2.3560462   -8.352384 ]",2156.1276157126854,2624.2939589586704,3531.6478112755176,0.055172965696352556,"[0.42251062 0.40072218 0.3973518  0.36861905 0.2900508  0.28991047
 0.3133312  0.3360511  0.3499386  0.33247274 0.3370876  0.39358476]",0.09503653,0
"[-3.1964563e+02  1.5258853e+02 -2.5556074e+01 -5.4272953e-02
  5.9655023e+00  7.1613469e+00 -1.2463838e+01 -4.4026527e+00
 -3.9562005e-01 -1.3152404e+01 -3.1715658e+00 -5.8203661e-01
 -2.5253937e+00]",2286.768041358446,2748.406400894146,4366.304430887795,0.05489106074944369,"[0.34814063 0.35492334 0.38553256 0.4300596  0.39409882 0.3965337
 0.42343277 0.45442238 0.46804616 0.4293513  0.3760895  0.3666221 ]",0.061639957,0
"[-309.4732     123.49691    -15.971551     3.4671388   -7.644397
   -3.0918925   -6.1923733   -8.272221    -7.3936415   -7.115531
   -2.1463037   -3.5032666   -3.1484382]",2293.790757305043,2795.999966372026,4012.721061950678,0.06160044627381282,"[0.41488966 0.4037014  0.40888336 0.39359272 0.31993502 0.31979957
 0.33741316 0.36344352 0.3823288  0.37893924 0.38201255 0.4116801 ]",0.054448765,0
"[-296.7996     100.658165   -33.14746      3.2574244  -20.768818
   -2.9884653  -16.20494     -6.5021358   -8.737832   -10.747816
   -5.5653667   -5.0504956   -4.2497816]",2981.977236493902,3231.0580012084547,5455.423261801894,0.07458549003482973,"[0.38841832 0.3894226  0.3859044  0.38315785 0.31129095 0.29347342
 0.30494013 0.33630046 0.38471577 0.3735848  0.3825929  0.38672215]",0.07520604,0
"[-302.35858    103.56801    -36.27772     19.733465   -16.093884
   -1.8589911  -17.378357    -3.805883    -3.3189454  -10.104294
   -1.3206644   -4.3892207   -5.3351   ]",3304.672156464711,3241.0360071695977,6164.012310394192,0.08640361585115132,"[0.40288725 0.3778479  0.39027473 0.39326507 0.34594512 0.3333648
 0.34890264 0.38897914 0.4095027  0.37864015 0.37724468 0.40102175]",0.0646559,0
"[-3.1684995e+02  1.1411616e+02 -2.2938906e+01  2.2759497e-01
 -1.4191995e+01  5.2159367e+00 -1.6862787e+01 -3.6547980e+00
 -8.7983284e+00 -5.9329014e+00 -1.0962651e+01 -3.7574368e+00
  1.2887044e+00]",2551.4748296479197,2925.9207496075132,4535.500742650824,0.06814002551278905,"[0.3793664  0.3588961  0.36753583 0.36637524 0.30433163 0.30850878
 0.31836823 0.34958664 0.37468255 0.37515903 0.38783905 0.40939438]",0.050852988,0
"[-290.81366     121.55478      -3.3144243    40.405895      5.51115
   18.669546     -1.4850568    -3.0147727    -3.3963985    -8.348498
    4.175058     -1.9762746     0.44895318]",2561.9476145620833,2951.720614800646,4756.048440736191,0.060344841638126694,"[0.487459   0.5002499  0.4982384  0.47358766 0.45555693 0.42895675
 0.4031627  0.42719448 0.44136664 0.44470665 0.45699254 0.46704766]",0.07453673,0
"[-410.43344    133.4564      -6.061192    37.453835     1.701992
   16.658413    -6.861817    -4.9339433    4.433239    -2.6455572
    7.5876822    0.9704462    1.3801935]",2516.5288483661157,3091.559611821847,4692.900975842905,0.054488458326124124,"[0.48566023 0.4702639  0.46057686 0.47495463 0.44611573 0.43147707
 0.4101017  0.40281156 0.36637843 0.36998928 0.37616158 0.41938862]",0.019132664,0
"[-353.87653    146.58546    -11.486334    26.642912    15.277832
   22.003124    -4.5194783   -3.105331     1.6450856  -11.614929
    1.9865185   -1.2276391    1.7518835]",2293.025061144787,2833.2412439892273,4418.1818019177335,0.049968812895022086,"[0.49100864 0.48518452 0.4761651  0.4629982  0.41479456 0.40115398
 0.3979219  0.42628458 0.44444796 0.4604878  0.4730426  0.48106307]",0.037689872,0
"[-305.40286     135.43674      -0.90454155   28.09992       4.1139703
   13.010413      3.2916396    -8.323954     -6.155558     -7.0704308
    2.6414685    -0.5221894     2.1400058 ]",2292.593243553417,2820.9198323303576,4135.101729716474,0.05430726738860504,"[0.47451213 0.462824   0.4567339  0.46231776 0.44541883 0.42705914
 0.40648982 0.4233881  0.41827396 0.4407561  0.46302402 0.45786852]",0.059064966,0
"[-3.7840616e+02  1.3279495e+02 -2.4660885e+00  3.7157383e+01
  5.7239394e+00  1.4888328e+01  6.1592093e+00 -4.1895261e+00
  8.9643300e-01 -2.9224160e-01  1.6892729e+00 -2.0049515e+00
  3.8158860e+00]",2312.8620253150148,2934.44108277651,4216.665524988169,0.05030756938012702,"[0.51567566 0.50692534 0.47066873 0.45077834 0.4313149  0.40819198
 0.37563893 0.4064613  0.4285115  0.45076805 0.48754713 0.49264696]",0.032055885,0
"[-3.1949750e+02  1.0002903e+02 -1.9467314e+01  5.4817554e+01
 -2.8713093e+00  1.6534328e+01 -1.2951979e+01  2.1756532e+00
 -1.9674079e-01 -3.3673161e-01  2.9995239e+00 -9.4174385e-01
  2.2890468e+00]",3438.733274573025,3376.198392258265,6528.864382270696,0.0819257457870672,"[0.44206408 0.4321229  0.42495504 0.45384765 0.46957654 0.4422924
 0.4104807  0.43530148 0.4164529  0.40115172 0.3927799  0.40631062]",0.042162307,0
"[-292.681      117.60561     -4.722159    34.250088    -0.473884
   27.166996    -6.361244     4.100251    -5.9719872   -1.9175164
   -3.5719068   -7.308409     6.240877 ]",2881.9926677382177,3326.1930945224026,5569.547844426181,0.06761823150965864,"[0.48662344 0.45908758 0.45961428 0.49056876 0.47064316 0.44748858
 0.42534238 0.4504745  0.45657226 0.4713193  0.50102496 0.5000085 ]",0.05308652,0
"[-298.96002    128.24802    -12.6408      27.359493    -6.4191365
    5.727601    -6.1055355   -8.794282    -8.324611   -13.008058
   -3.4863508   -7.8231764   -3.1322248]",2541.632668581749,2753.2863107862654,4492.674668764605,0.07067862179604206,"[0.40952924 0.46513605 0.4956848  0.47908437 0.46594912 0.42721564
 0.39420745 0.37906238 0.37277663 0.35205543 0.3493256  0.37083253]",0.07138115,0
"[-3.0019827e+02  1.3602287e+02 -9.9892445e+00  2.2230307e+01
  6.3215762e-01  5.5348859e+00 -1.3775586e+01  5.2181289e-02
 -3.6408520e+00 -4.1108932e+00 -5.2323594e+00  2.5062253e+00
 -5.3707948e+00]",2829.8871447865977,3066.301237782826,5078.005436345297,0.07898033011720461,"[0.42981386 0.4221854  0.41048932 0.41292894 0.44819972 0.5119947
 0.5227377  0.52865094 0.53445274 0.53269917 0.50970954 0.4547194 ]",0.059405625,0
"[-304.57935    156.09157    -19.139984    22.492996    11.799767
   13.725142    -9.2293215   -1.9618795   -3.7500432  -14.607745
   -1.2086815   -2.599389    -1.7826855]",2355.852265337842,2672.5296584730468,4444.714781564919,0.06288002786348036,"[0.3846535  0.40738955 0.42081544 0.42012993 0.42062545 0.44729593
 0.44768345 0.45685095 0.48775834 0.505781   0.45754698 0.41306847]",0.061261076,0
"[-316.83258     135.9966      -12.108898     20.41057      -0.9652812
    8.043309     -0.4551119   -10.437913     -6.5874186    -8.747098
   -1.5945616    -2.3044665    -0.62056816]",2453.5644980474785,2837.656329453996,4323.3149411923105,0.06454340746859939,"[0.45194328 0.47571725 0.48307648 0.48807183 0.46180683 0.42371908
 0.39414856 0.3885101  0.37362453 0.39239755 0.4263999  0.43762675]",0.053509656,0
"[-307.5179     147.81346    -15.609025    32.748043     1.1752018
    8.26714      3.7517576   -6.1010475   -2.9967287   -1.1747845
   -7.5362363   -2.3093581    1.0072609]",2339.628169246275,2688.464869234073,4052.9658432753395,0.06257281074284358,"[0.44125548 0.46221745 0.44938037 0.43395844 0.45881027 0.46969098
 0.43948346 0.45969558 0.50301427 0.5224128  0.51566696 0.45954582]",0.07195427,0
"[-278.85788     93.38703    -35.43553     45.277267   -15.865511
    3.8021002  -21.972145    -3.8622446   -6.209404   -11.868713
   -6.593298    -7.4527726   -4.506097 ]",3662.277125586235,3220.6855273399856,6669.820824243282,0.10565994059898495,"[0.3793892  0.36684018 0.3441091  0.35774875 0.40787163 0.42281532
 0.4273105  0.47680986 0.47566724 0.45123684 0.3935901  0.37205237]",0.06909589,0
"[-294.84836    116.797874   -17.674932    28.256603   -10.062337
   16.503687   -12.836014    -1.0668572   -9.842257    -8.436433
   -9.872667   -11.671277     2.046929 ]",3003.2566570058375,3253.167327396304,5683.65232663484,0.07711641788830875,"[0.43395412 0.436797   0.45278108 0.49092135 0.4675836  0.43287408
 0.41654924 0.41815862 0.40272045 0.3966721  0.43035287 0.4454221 ]",0.05205944,0
"[-3.1961438e+02  1.2355985e+02 -8.8265204e-01  2.4164082e+01
  2.0892217e+00  1.3654113e+01 -4.1605487e+00 -6.5050650e+00
 -5.7904634e+00 -9.2000437e+00 -2.1424215e-01 -4.3401804e+00
  4.3892562e-01]",2682.56839049859,3091.3517590580595,5002.084753077835,0.0696585357004644,"[0.48540616 0.5102621  0.5294949  0.51784956 0.5052027  0.47545058
 0.43688044 0.4373776  0.478306   0.4938394  0.48161814 0.47488984]",0.046374775,0
"[-322.74362    124.70139      6.1509395   17.172329     8.403627
    8.273476   -11.758034    -3.5056534   -4.4938784   -2.2870066
   -1.5732602    3.5051422   -3.8776011]",2860.5493832628977,3435.817773758645,5434.719220329734,0.07233238574521092,"[0.48256776 0.45002043 0.42982295 0.43131444 0.4320596  0.46381843
 0.48144162 0.5109584  0.5542726  0.5667746  0.5584159  0.513487  ]",0.052911125,0
"[-316.99692    128.70328     -3.9121928   14.03314      5.5147367
    6.214406   -15.205957   -12.34853     -6.880347    -7.162488
   -0.9118711   -2.3423383   -8.064135 ]",2268.072183615337,2656.9546046456553,3747.7327546394276,0.06150141382365035,"[0.46478146 0.463007   0.4937368  0.4945051  0.4329507  0.41485748
 0.39015755 0.35122308 0.3101912  0.3032511  0.33004892 0.41005856]",0.06059418,0
"[-347.78796     129.16504       9.32705      17.843365      8.118469
   10.150135      4.9988117    -8.064282     -9.192218     -5.660418
   -1.4015098    -1.1530647    -0.68438876]",2545.319191274627,3365.0684840722824,4949.54882075543,0.0590122659878096,"[0.47484022 0.460181   0.45793536 0.44370824 0.432452   0.43477795
 0.4263929  0.44491565 0.46676943 0.49944293 0.5081291  0.48783523]",0.043405253,0
"[-4.05262115e+02  1.02880806e+02  1.92609596e+01  1.61754589e+01
  1.27044888e+01  7.89970016e+00  4.36821318e+00 -3.86998439e+00
 -3.23193455e+00  1.12702572e+00 -1.22850108e+00 -3.18708926e-01
  1.81279922e+00]",2326.4804090122107,3197.419347182366,4162.997326924705,0.051426559778928016,"[0.48103544 0.4810184  0.4598039  0.437893   0.43444073 0.42793727
 0.4051226  0.42922744 0.48787814 0.5263374  0.53040683 0.49622467]",0.02083637,0
"[-375.502        81.85331      -3.09029      30.708612      5.080034
    0.90710413  -11.932266     -8.148216     -1.2795912    -3.304763
   -1.3323885    -1.6802254    -0.7995912 ]",3714.939020499776,3580.0454769994453,6893.14748474688,0.10256307973950271,"[0.44687733 0.46539956 0.48049423 0.49631402 0.47796518 0.45083946
 0.41673443 0.42319787 0.4274016  0.41069528 0.39545128 0.41265348]",0.021665646,0
"[-319.9276     111.93946      6.4004316   25.083447     3.1329846
   19.465818    -7.405575     0.6303012   -8.597059    -4.543213
   -4.837193    -6.3765926    4.723749 ]",2878.240490119696,3467.844554128399,5522.08160872799,0.06986210589807469,"[0.4814819  0.44508043 0.4489171  0.48185173 0.47827125 0.47063106
 0.46310997 0.49543867 0.520863   0.54708683 0.5691233  0.53775233]",0.04052354,0
"[-373.91318     91.47456     -7.0285773    3.0698822   -6.1807227
   -3.3632534   -9.1107855   -4.507231    -6.457354    -5.085166
   -2.6349754   -5.783503    -2.177442 ]",3018.028621624971,3335.5916835389094,5734.879322574452,0.08199965692398563,"[0.40007108 0.39246088 0.37838712 0.3764507  0.37600714 0.40671483
 0.42910624 0.45767525 0.48911548 0.48319498 0.4467197  0.42924622]",0.04308681,0
"[-3.7911014e+02  1.0437705e+02 -4.8603296e+00  3.2134216e+00
 -4.7431073e+00 -3.5574913e+00 -1.2329116e+01  1.0119380e-01
 -2.3567934e+00 -6.7077751e+00 -2.4051099e+00  2.7195866e+00
 -7.1509538e+00]",3045.097507906077,3780.2894924398875,6265.577529576541,0.07159674204539958,"[0.45261922 0.45741293 0.46231124 0.4562072  0.43391263 0.43900576
 0.43378037 0.4216481  0.4287295  0.453338   0.46565276 0.45528293]",0.048607487,0
"[-355.9527      97.53392     -9.378901    -4.9741635   -2.6060882
   -3.066431   -15.316757    -7.2712317   -3.0006728   -7.1100044
   -2.8135781   -0.6515798   -6.729848 ]",2584.7680365671686,3310.0725525206813,5078.65429007232,0.06058513062657218,"[0.4409906  0.39694548 0.3761801  0.36046913 0.34036684 0.36657628
 0.40414494 0.43170574 0.4404171  0.45974472 0.45328104 0.45399317]",0.06214805,0
"[-3.5732941e+02  1.4118585e+02 -1.2681419e+01  1.7982073e+00
  1.0912352e+01  6.0127511e+00 -8.5013819e+00 -2.4103501e+00
 -2.7737436e-01 -9.1934776e+00 -2.3319578e+00  4.0498206e-01
 -1.6446966e+00]",2572.9683678289807,3198.634689345609,5231.99711282925,0.05586979632776219,"[0.47022432 0.48690397 0.4902337  0.47524273 0.44093192 0.45098034
 0.45146814 0.43703943 0.44396213 0.4621774  0.4701654  0.48731932]",0.04777689,0
"[-364.58694     89.81186    -14.636052     4.550217   -11.388456
   -5.1884027   -9.925844    -5.473617    -3.387645    -7.283663
   -4.901396    -3.701797    -3.037617 ]",3014.9547193728595,3722.3462898113917,6155.607361217771,0.06662413417001257,"[0.40759    0.38390452 0.3646068  0.34150314 0.32847074 0.35139406
 0.38224795 0.42064947 0.47012645 0.49226767 0.49361333 0.4587869 ]",0.051044807,0
"[-365.79153     84.47284    -22.815254    15.642306    -7.8279486
   -2.494513   -15.844833     1.0954267   -3.068637    -5.7796397
   -1.2738373   -2.6248896   -2.9245746]",3951.262995875455,3827.979588321033,7590.258269413337,0.10846229765806405,"[0.4611305  0.42383504 0.38939315 0.3918043  0.40279114 0.41790825
 0.44314697 0.4750486  0.4912556  0.5034444  0.4987448  0.48221892]",0.04369865,0
"[-378.6077       91.190575    -10.832652      1.5272282    -6.504468
    1.48341     -12.22482      -0.95590264   -5.2270346    -4.1666784
   -8.3472       -2.023238      1.4904307 ]",2816.0163286209877,3414.6983893327683,5451.844110658973,0.06865516035657906,"[0.38887078 0.35228637 0.3501417  0.362184   0.36314666 0.38801223
 0.41193643 0.44213474 0.47418472 0.4914118  0.47103387 0.44485438]",0.03434125,0
"[-338.7409     114.87154    -14.085601    27.62047     -4.2653275
   16.336061    -4.9477415   -3.9039671   -5.704402   -11.072612
   -0.5628755   -5.556184    -1.231778 ]",3124.1204058979365,3304.3140174270247,5778.260284764173,0.08825027106567535,"[0.49737027 0.5038295  0.4829093  0.4772984  0.48543477 0.45929456
 0.4327243  0.44788134 0.5160671  0.528037   0.5204287  0.50470376]",0.049781054,0
"[-336.02225    120.72747     -9.031389    10.932535    -1.1136501
    6.4653077  -13.911692    -2.4819145   -6.8848805   -5.962558
   -5.4333696    2.4661517   -6.909405 ]",3183.645206995439,3521.510090196114,6114.14089727579,0.08708517270755886,"[0.5036787  0.4598209  0.40385798 0.41868988 0.41515124 0.4323331
 0.46241498 0.49287668 0.54331917 0.5722995  0.5745974  0.5190753 ]",0.05620588,0
"[-328.89124    110.84317    -11.20838      4.791785    -0.5990399
    4.8432755  -15.051328   -12.157112    -8.074078    -9.884757
   -4.3226194   -4.1531754   -8.940127 ]",2661.3688190091293,2944.8365941132433,4573.828451730948,0.07274380179290582,"[0.40938997 0.4040505  0.4099557  0.45872504 0.4508175  0.4267402
 0.42482483 0.40183255 0.35449067 0.3418542  0.3430883  0.37316573]",0.062388793,0
"[-335.0703     145.67175    -15.657088    13.586704    13.364915
   15.835577    -7.6096935   -2.2454429   -3.3197172  -14.443238
   -2.468031    -2.6700375   -3.0660703]",2625.761310966673,3033.2347920317998,5310.474794522537,0.06584306265489467,"[0.46020856 0.4723225  0.44520885 0.43255523 0.39751053 0.3864873
 0.4018862  0.42676616 0.48657426 0.5291202  0.51671916 0.49352485]",0.05605792,0
"[-358.5893     125.968315    -2.6233354   14.850414     4.1035247
    9.237179     4.191223    -6.0482187   -6.6574197   -7.297822
   -2.0315404   -2.1900105   -2.1709352]",2919.540593530431,3500.661819218585,5888.5492419842,0.07450282440752788,"[0.5179841  0.49351183 0.44336745 0.4406516  0.43262938 0.41190475
 0.4028777  0.41470817 0.45988634 0.5259477  0.5569571  0.517981  ]",0.045035847,0
"[-318.03036     84.6182     -27.353771    32.263996    -8.829655
    8.43226    -18.084522    -3.8827589   -8.722783    -5.4247603
   -6.3382416   -5.83841     -2.9341218]",4065.5742805883456,3600.726268002397,7519.482585240474,0.125244140625,"[0.42451262 0.406752   0.4432926  0.51674074 0.5098961  0.4717326
 0.47297397 0.47398946 0.4356672  0.3902187  0.39445388 0.41377664]",0.054116387,0
"[-340.98846    116.12348    -12.505409    24.582245    -5.5752378
   22.254559    -9.431347     4.896503    -9.155776    -4.8500547
   -7.090349    -7.1120625    2.8032596]",3155.6087459710307,3577.3569797973946,6125.657291908689,0.08173356180297398,"[0.50745344 0.4589396  0.4229057  0.46394587 0.469914   0.4502727
 0.4399555  0.46649897 0.50575453 0.54533964 0.59351224 0.56527054]",0.039591387,0
"[-328.4807     100.096306    -6.96394     31.538004    -2.3376412
   13.266965    -4.529647    -5.411508    -6.1558557  -10.620225
   -0.8812695   -5.7608542   -1.0440531]",3359.2121892391724,3277.455875300129,5992.654596570845,0.10371854327411474,"[0.4877435  0.49811533 0.49894214 0.48071617 0.48836425 0.46728563
 0.43837184 0.45060894 0.49855176 0.49512547 0.48308885 0.48405746]",0.054288037,0
"[-454.2341      99.78767     -2.8084092   20.503809    -7.1240187
    7.4618416  -11.388476    -6.1327486   -1.659173   -11.268125
   -1.9747604   -2.5656013   -6.5786033]",3879.0849613976034,3748.1835815009163,6787.959370805014,0.1223157191793247,"[0.51182795 0.49056917 0.45445564 0.45631304 0.4460527  0.4427868
 0.44453707 0.461749   0.49823537 0.51742107 0.53662246 0.5226017 ]",0.0112595735,0
"[-462.96295     98.25801     -8.4419775   16.123634    -8.251673
    5.441876   -15.118731   -13.780545    -5.1911016  -14.978832
   -3.5024269   -7.252183    -8.951267 ]",3632.0017610126333,3562.3551797344176,6248.531382652259,0.113747753225982,"[0.41950902 0.42069972 0.42458892 0.47224957 0.47901323 0.4565665
 0.42531097 0.3975141  0.364571   0.35165846 0.3475894  0.38600284]",0.010893816,0
"[-466.38116    109.42233     -4.1813984   17.765789     7.1334424
   15.200693    -5.8204346   -5.5666366   -1.6351635  -16.23058
   -1.5723046   -4.331451    -1.8322883]",3486.465551191857,3606.287176123186,6343.265393141992,0.10588485670532605,"[0.4717585  0.47028974 0.45441362 0.45001584 0.41119954 0.39652613
 0.39916778 0.4174813  0.4597668  0.48547742 0.4930764  0.49110886]",0.009354746,0
"[-348.90723    114.44287      1.8628328   21.75154      1.5746336
    9.130814     2.7335796   -7.9515896   -8.106589    -8.253897
   -0.7761977   -3.5553935   -1.2293562]",3092.9975801748387,3356.3139486250666,5724.8166328170355,0.08468519275771576,"[0.49597058 0.4800358  0.46882653 0.47131371 0.4619084  0.44450846
 0.4302654  0.43876374 0.4548553  0.49411693 0.5271156  0.5081695 ]",0.043722365,0
"[-4.6772244e+02  9.9471176e+01 -3.2601593e+00  2.3737839e+01
 -4.4343748e+00  9.1984091e+00  3.8585401e-01 -7.0828266e+00
 -2.3809896e+00 -8.0218325e+00 -3.1664882e+00 -6.1102843e+00
 -4.2367011e-01]",3593.4410155599803,3568.6935410118444,6238.338110956245,0.11433304825065306,"[0.49133176 0.49449667 0.45518285 0.44233075 0.43873158 0.4153895
 0.3829917  0.40668827 0.46449026 0.48661104 0.51317734 0.49977773]",0.0112439,0
"[-334.88058    101.56672     -5.5665736   27.842346    -6.0211105
   19.910383    -8.648508     0.6413991   -7.822307    -6.342654
   -7.0807567   -8.592873     2.3117135]",3448.174462782817,3586.883779846413,6574.746910071594,0.09678708480976683,"[0.49255684 0.44349295 0.42681587 0.4624799  0.4667177  0.4536905
 0.4392649  0.46292907 0.493958   0.5242766  0.5637023  0.5471502 ]",0.039824385,0
"[-315.27158    122.61422    -15.200753    13.155524    -9.5719385
   -1.2446879   -6.420455    -9.396469    -7.1866865  -12.21208
   -3.5238955   -5.1274576   -4.4502707]",2580.756898306896,2814.046837470166,4661.684311432735,0.07061141164679276,"[0.39949018 0.4214607  0.43401185 0.43298408 0.43487987 0.42602825
 0.40288547 0.39965314 0.4069306  0.39942923 0.38497895 0.38204733]",0.061654393,0
"[-364.02228    127.577644   -24.322737    13.053899    -9.680256
   -2.0257106  -13.1715145   -5.267938    -3.9426422   -7.017439
   -3.6581578    2.5628963   -6.7947216]",2959.580837186789,3143.3836370570148,5293.595490352288,0.08341816527186532,"[0.42240092 0.40029576 0.39053607 0.3988784  0.419743   0.46304792
 0.47354716 0.47838515 0.4947776  0.5075778  0.49070746 0.4475277 ]",0.03284484,0
"[-300.49673    109.6876     -21.899088    -1.8796145   -7.5593996
   -7.346871   -18.094257   -14.432868    -8.241771   -10.52383
   -6.050499    -3.4332325   -8.929547 ]",2526.9661340676944,2671.761411613642,4348.306206387263,0.06998688783438951,"[0.35432893 0.33660483 0.333475   0.33954793 0.33989248 0.37232888
 0.40107685 0.40744007 0.38350457 0.3812642  0.35063842 0.34482703]",0.07876757,0
"[-3.1770291e+02  1.5082922e+02 -2.1754906e+01  1.3694697e+01
  6.3058081e+00  8.4453278e+00 -8.1057072e+00 -3.9721620e+00
 -1.5124247e+00 -1.2821084e+01 -8.2030237e-01  2.9995802e-03
 -2.6217892e+00]",2429.113680654593,2794.925399522131,4681.912522448843,0.06204413540961204,"[0.4038591  0.41035095 0.40983024 0.3997564  0.3933189  0.4168113
 0.43591607 0.44773486 0.46763274 0.48725864 0.4628576  0.43564358]",0.05523574,0
"[-3.33148651e+02  1.23225945e+02 -1.08124151e+01  1.27535810e+01
 -2.87811875e+00 -1.79051259e-03  1.27113968e-01 -8.00850677e+00
 -4.87391901e+00 -7.31302071e+00 -2.27357984e+00  8.06204304e-02
 -6.16531909e-01]",2552.6984564593895,2995.317750392028,4671.9213328642,0.06310460707720589,"[0.42301413 0.4219752  0.4239582  0.42316332 0.41467977 0.41165715
 0.3990901  0.40200922 0.40201563 0.4227265  0.43268064 0.4211485 ]",0.041999444,0
"[-314.88715    116.7811     -23.32007     14.586442   -10.493087
   -1.6105607   -8.203851    -8.557706    -3.846619    -8.5973215
   -7.8064256   -2.677322    -2.840924 ]",2779.268816212121,2992.136267450971,5001.325591001717,0.07269104759759579,"[0.3927041  0.39489394 0.38983688 0.38093093 0.37748638 0.39352435
 0.38716647 0.39946958 0.427159   0.42771396 0.42713714 0.40332624]",0.062506795,0
"[-349.94922    101.82151    -38.151535    27.70759    -16.981647
   -1.8945258  -18.371908    -6.922105    -7.3154807   -7.850538
   -5.0530496   -4.466347    -3.4064894]",3473.9887043430776,3256.615259746215,6264.606285449521,0.10087908576516544,"[0.394376   0.3929839  0.39201736 0.41465113 0.43048915 0.43056142
 0.41438302 0.42005694 0.40956607 0.39370143 0.38480118 0.3818334 ]",0.033201113,0
"[-335.5547     162.35162    -39.300396    -9.883124   -18.780518
   -0.6547804   -9.567216    -9.631467    -5.8419228  -12.6584215
   -2.41805     -6.4686007   -1.6202403]",2064.594996318938,2601.8218132191587,3226.1313965529503,0.050620454247480046,"[0.37088558 0.3845899  0.41285297 0.3802056  0.32867867 0.3379823
 0.3453096  0.3596784  0.37561747 0.35325396 0.35023174 0.37055713]",0.04087589,1
"[-3.0592300e+02  1.3864394e+02 -4.1226482e-01  2.3759027e+01
  8.3049059e+00  1.7825203e+01 -5.4609017e+00  2.5473762e+00
  2.7559823e-01 -1.3652580e+00  2.9718931e+00  4.7330866e+00
 -1.0735310e+00]",2395.57059865126,2863.8475007036386,4453.897192440957,0.054350224450149615,"[0.49355993 0.4684822  0.46232036 0.4786636  0.47381067 0.46252915
 0.44636723 0.45823377 0.48619896 0.5074782  0.5186424  0.5041279 ]",0.05844034,1
"[-331.50803    140.44742    -41.911015    27.003574   -11.273338
    7.222547   -25.101227   -11.294567    -8.51633    -11.902056
    0.7190401   -6.920853    -4.5335054]",2735.721390087767,2710.9503020699813,4797.724710639696,0.08068457216664232,"[0.3773309  0.36525655 0.3279626  0.32388237 0.36639443 0.40906745
 0.4044364  0.422802   0.41483483 0.4274371  0.41786635 0.39276007]",0.034533918,1
"[-297.99527    180.62141     13.730079    -4.2282257   25.003895
    6.8680706   -6.5191483   -5.8873186  -15.689464   -16.675913
   -7.5491023   -4.494458    -1.7885917]",1093.4420044139174,1557.3580328367086,1938.0161912672054,0.03098300956567264,"[0.42001945 0.4391322  0.36487782 0.30335578 0.29182285 0.3268101
 0.3632746  0.4190025  0.4843932  0.48261473 0.4602305  0.4124887 ]",0.086918235,1
"[-4.9258911e+02  1.5130023e+02 -3.0480345e+01 -3.8040566e-01
 -7.7270741e+00 -1.4489704e+01  1.7586339e+00 -1.0671974e+01
 -1.1085483e+00 -8.8161707e+00 -4.5792845e-01 -1.3263588e+00
  1.2520437e+00]",2918.0465694429645,4135.420351179309,5733.829722389995,0.05765862283887428,"[0.43232024 0.39337483 0.3768507  0.3621809  0.3619323  0.38355908
 0.4071647  0.41576535 0.43746868 0.43223137 0.43739176 0.45890465]",0.0072245104,1
"[-397.83902    134.84984    -17.178814    20.500437   -11.476239
   12.578044   -11.73361     -6.282767   -19.370832    -7.3288074
  -12.405553    -9.294069    -4.352418 ]",2928.592367979096,3511.977844584337,5591.639191014173,0.06988738673327137,"[0.510344   0.48404685 0.43775642 0.42447403 0.39124432 0.37046522
 0.37455896 0.39044052 0.42953056 0.47432926 0.5239047  0.532861  ]",0.01747415,1
"[-376.87332     75.84301    -21.760483    35.06369    -14.262176
    5.1164584  -20.205122    -2.049936   -16.105799    -2.8810847
  -10.509221    -6.1670136   -6.189111 ]",4660.405370253793,4007.1184359858257,8726.15863818128,0.14109752628095076,"[0.41387805 0.41559595 0.42305973 0.474128   0.50092965 0.5127689
 0.48661837 0.4749279  0.42851993 0.39249206 0.39050925 0.4090739 ]",0.01802755,1
"[-339.19382    132.63988    -35.109463    15.812174   -17.311853
    1.4303921   -5.7896156  -17.702726    -7.17999    -11.750018
   -4.26164    -13.164191    -3.3023503]",2809.718302450418,3121.3908424860606,5366.359769989874,0.06621088892429518,"[0.38488927 0.39348748 0.41321093 0.41434672 0.4139637  0.40007192
 0.3980633  0.39872375 0.3988756  0.39989755 0.3892925  0.38133594]",0.030260205,1
